Rank,Mountain,Height,Height_ft,Range,latitude,longitude,Parent mountain,First  ascent,Ascents  (failed attempts)  bef. 2004[7]
82,Baltoro Kangri,"7,312","23,990",Masherbrum Karakoram,35.63917,76.67333,Chogolisa,1976,1 (0)
89,Baltistan Peak / K6,"7,282","23,891",Masherbrum Karakoram,35.41833,76.55167,Chogolisa,1970,1 (3)
43,Muztagh Ata,"7,546","24,757",Muztagata (Eastern Pamirs),38.27583,75.11611,Kongur Tagh,1956,Many
105,Noijin Kangsang /  Norin Kang,"7,206","23,642",Nagarze Himalaya,28.94667,90.17833,Gangkar Puensum,1986,4 (1)
34,Gurla Mandhata,"7,694","25,243",Nalakankar Himalaya,30.43861,81.29667,Dhaulagiri,1985,6 (4)
9,Nanga Parbat,"8,126","26,660",Nanga Parbat Himalaya,35.23722,74.58917,Dhaulagiri,1953,52 (67)
50,Ismoil Somoni Peak,"7,495","24,590",Pamir (Akademiya Nauk Range),38.94306,72.01583,Muztagh Ata,1933,
87,Baintha Brakk / The Ogre,"7,285","23,901",Panmah Karakoram,35.94750,75.75333,(87. Baintha Brakk / The Ogre (7285 m)) *,"1,891",Kanjut Sar,1977,3 (13)
27,Rakaposhi,"7,788","25,551",Rakaposhi-Haramosh Karakoram,36.14250,74.48944,Khunyang Chhish,1958,8 (13)
58,Malubiting,"7,458","24,469",Rakaposhi-Haramosh Karakoram,36.00333,74.87528,Rakaposhi,1971,2 (6)
67,Haramosh Peak,"7,409","24,308",Rakaposhi-Haramosh Karakoram,35.84000,74.89750,Malubiting,1958,4 (3)
93,Diran,"7,266","23,839",Rakaposhi-Haramosh Karakoram,36.12028,74.66167,Malubiting,1968,12 (8)
48,Mamostong Kangri,"7,516","24,659",Rimo Karakoram,35.14194,77.57750,Gasherbrum I,1984,5 (0)
71,Rimo I,"7,385","24,229",Rimo Karakoram,35.35500,77.36889,Teram Kangri I,1988,1 (3)
98,Rimo III,"7,233","23,730",Rimo Karakoram,35.37528,77.36167,Rimo I,1985,1 (0)
31,Saltoro Kangri / K10,"7,742","25,400",Saltoro Karakoram,35.39917,76.84806,(31. Saltoro Kangri / K10 (7742 m)) *,"2,160",Gasherbrum I,1962,2 (1)
61,K12,"7,428","24,370",Saltoro Karakoram,35.29583,77.02222,Saltoro Kangri,1974,4 (2)
69,Ghent Kangri,"7,401","24,281",Saltoro Karakoram,35.51778,76.80056,Saltoro Kangri,1961,4 (0)
74,Sherpi Kangri,"7,380","24,213",Saltoro Karakoram,35.46611,76.78139,(74. Sherpi Kangri (7380 m)) *,"1,000",Ghent Kangri,1976,1 (1)
35,Saser Kangri I / K22,"7,672","25,171",Saser Karakoram,34.86667,77.75250,Gasherbrum I,1973,6 (4)
49,Saser Kangri II E,"7,513","24,649",Saser Karakoram,34.80472,77.80667,Saser Kangri I,2011,0 (0)[10]
51,Saser Kangri III,"7,495","24,590",Saser Karakoram,34.84556,77.78500,Saser Kangri I,1986,1 (0)
56,Teram Kangri I,"7,462","24,482",Siachen Karakoram,35.58000,77.07833,Gasherbrum I,1975,2 (0)
63,Sia Kangri,"7,422","24,350",Siachen Karakoram,35.66333,76.76167,Gasherbrum I,1934,6 (0)
73,Teram Kangri III,"7,382","24,219",Siachen Karakoram,35.59972,77.04806,Teram Kangri I,1979,1 (0)
96,Apsarasas Kangri,"7,245","23,770",Siachen Karakoram,35.53861,77.14861,Teram Kangri I,1976,2 (0)
108,Singhi Kangri,"7,202","23,629",Siachen Karakoram,35.59972,76.98361,Teram Kangri III,1976,2 (0)
60,Jengish Chokusu /  Tömür / Pk Pobeda,"7,439","24,406",Tian Shan,42.03472,80.12972,Ismail Samani Peak,1938,
84,The Crown / Huang Guan,"7,295","23,934",Yengisogat Karakoram,36.10667,76.20583,Skil Brum (K2),1993,1 (3)
