t,id,lat,lng,available_bike_stands,available_bikes,delta
2015-11-03T00:04:00,6107,48.85024108719566,2.327551549210571,18,5,0
2015-11-03T00:04:00,17029,48.88141110121936,2.29482820074442,14,22,0
2015-11-03T00:04:00,13050,48.828369893809565,2.384440354604646,58,1,0
2015-11-03T00:04:00,9020,48.879505265624786,2.337190639271711,1,20,0
2015-11-03T00:04:00,14029,48.83425924993043,2.313391647113252,27,40,0
2015-11-03T00:04:00,10029,48.88072668576597,2.351464333201903,19,4,0
2015-11-03T00:04:00,9004,48.88291108953936,2.346319371627125,20,1,0
2015-11-03T00:04:00,10015,48.874112916506824,2.362498528696257,29,14,0
2015-11-03T00:04:00,6029,48.84892295818577,2.341040508705961,23,1,0
2015-11-03T00:04:00,12151,48.8455150897939,2.3726498446286,59,0,0
2015-11-03T00:04:00,12019,48.842577100515385,2.397249990597384,4,23,0
